episode,score,length
1207,840.0,741
1208,380.0,457
1209,450.0,425
1210,820.0,679
1211,1170.0,641
1212,650.0,689
1213,410.0,455
1214,660.0,475
1215,450.0,621
1216,330.0,387
1217,520.0,467
1218,900.0,867
1219,870.0,637
1220,390.0,523
1221,710.0,941
1222,680.0,711
1223,610.0,653
1224,530.0,539
1225,440.0,477
1226,570.0,465
1227,440.0,573
1228,120.0,345
1229,690.0,721
1230,450.0,729
1231,790.0,683
1232,1240.0,643
1233,370.0,915
1234,1810.0,899
1235,400.0,621
1236,1300.0,611
1237,180.0,391
1238,510.0,461
1239,580.0,689
1240,360.0,417
1241,840.0,625
1242,560.0,537
1243,470.0,569
1244,880.0,657
1245,1200.0,721
1246,440.0,419
1247,450.0,665
1248,1610.0,859
1249,1320.0,953
1250,400.0,457
1251,620.0,527
1252,720.0,625
1253,850.0,855
1254,370.0,453
1255,490.0,553
1256,1000.0,913
1257,770.0,879
1258,500.0,459
1259,420.0,655
1260,620.0,655
1261,770.0,665
1262,1340.0,713
1263,580.0,533
1264,710.0,671
1265,550.0,801
1266,560.0,479
1267,710.0,641
1268,1020.0,929
1269,570.0,463
1270,1370.0,869
1271,450.0,525
1272,950.0,671
1273,410.0,517
1274,700.0,701
1275,480.0,653
1276,460.0,593
1277,930.0,683
1278,390.0,569
1279,570.0,633
1280,220.0,453
1281,1210.0,897
1282,690.0,627
1283,540.0,623
1284,570.0,693
1285,560.0,561
1286,810.0,775
1287,720.0,873
1288,500.0,727
1289,450.0,569
1290,520.0,543
1291,170.0,391
1292,1840.0,1041
1293,470.0,561
1294,460.0,657
1295,370.0,535
1296,770.0,759
1297,340.0,353
1298,460.0,613
1299,1140.0,837
1300,900.0,841
1301,490.0,645
1302,560.0,491
1303,660.0,527
1304,480.0,697
1305,560.0,673
1306,460.0,809
1307,300.0,507
1308,780.0,599
1309,300.0,851
1310,630.0,585
1311,490.0,697
1312,520.0,457
1313,470.0,681
1314,630.0,557
1315,390.0,673
1316,1350.0,1121
1317,500.0,627
1318,610.0,701
1319,940.0,831
1320,1400.0,1389
1321,500.0,515
1322,360.0,607
1323,1060.0,735
1324,370.0,607
1325,540.0,453
1326,830.0,809
1327,650.0,479
1328,460.0,633
1329,640.0,579
1330,1440.0,755
1331,1240.0,773
1332,1110.0,827
1333,830.0,797
1334,660.0,603
1335,650.0,639
1336,430.0,445
1337,630.0,595
1338,450.0,475
1339,380.0,451
1340,580.0,641
1341,800.0,665
1342,210.0,375
1343,1040.0,851
1344,300.0,411
1345,660.0,541
1346,590.0,621
1347,900.0,695
1348,770.0,593
1349,380.0,463
1350,750.0,745
1351,610.0,613
1352,760.0,689
1353,780.0,529
1354,570.0,539
1355,600.0,619
1356,510.0,487
1357,1000.0,709
1358,920.0,653
1359,500.0,637
1360,670.0,663
1361,390.0,447
1362,850.0,649
1363,1060.0,949
